id,time,snr,rssi,collision,missed_start,missed_end,interrupted
183,92000.076032,128.0,8.0,False,False,False,
184,92000.156032,140.0,20.0,False,False,False,
185,93000.076032,128.0,8.0,False,False,False,
186,93000.156032,140.0,20.0,False,False,False,
187,94000.076032,128.0,8.0,False,False,False,
188,94000.156032,140.0,20.0,False,False,False,
189,95000.076032,128.0,8.0,False,False,False,
190,95000.156032,140.0,20.0,False,False,False,
191,96000.076032,128.0,8.0,False,False,False,
192,96000.156032,140.0,20.0,False,False,False,
193,97000.076032,128.0,8.0,False,False,False,
194,97000.156032,140.0,20.0,False,False,False,
195,98000.076032,128.0,8.0,False,False,False,
196,98000.156032,140.0,20.0,False,False,False,
197,99000.076032,128.0,8.0,False,False,False,
198,99000.156032,140.0,20.0,False,False,False,
199,100000.076032,128.0,8.0,False,False,False,
200,100000.156032,140.0,20.0,False,False,False,
201,101000.076032,128.0,8.0,False,False,False,
202,101000.156032,140.0,20.0,False,False,False,
203,102000.076032,128.0,8.0,False,False,False,
204,102000.156032,140.0,20.0,False,False,False,
205,103000.076032,128.0,8.0,False,False,False,
206,103000.156032,140.0,20.0,False,False,False,
207,104000.076032,128.0,8.0,False,False,False,
208,104000.156032,140.0,20.0,False,False,False,
209,105000.076032,128.0,8.0,False,False,False,
210,105000.156032,140.0,20.0,False,False,False,
211,106000.076032,128.0,8.0,False,False,False,
212,106000.156032,140.0,20.0,False,False,False,
213,107000.076032,128.0,8.0,False,False,False,
214,107000.156032,140.0,20.0,False,False,False,
215,108000.076032,128.0,8.0,False,False,False,
216,108000.156032,140.0,20.0,False,False,False,
217,109000.076032,128.0,8.0,False,False,False,
218,109000.156032,140.0,20.0,False,False,False,
219,110000.076032,128.0,8.0,False,False,False,
220,110000.156032,140.0,20.0,False,False,False,
221,111000.076032,128.0,8.0,False,False,False,
222,111000.156032,140.0,20.0,False,False,False,
223,112000.076032,128.0,8.0,False,False,False,
224,112000.156032,140.0,20.0,False,False,False,
225,113000.076032,128.0,8.0,False,False,False,
226,113000.156032,140.0,20.0,False,False,False,
227,114000.076032,128.0,8.0,False,False,False,
228,114000.156032,140.0,20.0,False,False,False,
229,115000.076032,128.0,8.0,False,False,False,
230,115000.156032,140.0,20.0,False,False,False,
231,116000.076032,128.0,8.0,False,False,False,
232,116000.156032,140.0,20.0,False,False,False,
233,117000.076032,128.0,8.0,False,False,False,
234,117000.156032,140.0,20.0,False,False,False,
235,118000.076032,128.0,8.0,False,False,False,
236,118000.156032,140.0,20.0,False,False,False,
237,119000.076032,128.0,8.0,False,False,False,
238,119000.156032,140.0,20.0,False,False,False,
239,120000.076032,128.0,8.0,False,False,False,
240,120000.156032,140.0,20.0,False,False,False,
241,121000.076032,128.0,8.0,False,False,False,
242,121000.156032,140.0,20.0,False,False,False,
243,122000.076032,128.0,8.0,False,False,False,
244,122000.156032,140.0,20.0,False,False,False,
245,123000.076032,128.0,8.0,False,False,False,
246,123000.156032,140.0,20.0,False,False,False,
247,124000.076032,128.0,8.0,False,False,False,
248,124000.156032,140.0,20.0,False,False,False,
249,125000.076032,128.0,8.0,False,False,False,
250,125000.156032,140.0,20.0,False,False,False,
251,126000.076032,128.0,8.0,False,False,False,
252,126000.156032,140.0,20.0,False,False,False,
253,127000.076032,128.0,8.0,False,False,False,
254,127000.156032,140.0,20.0,False,False,False,
255,128000.076032,128.0,8.0,False,False,False,
256,128000.156032,140.0,20.0,False,False,False,
257,129000.076032,128.0,8.0,False,False,False,
258,129000.156032,140.0,20.0,False,False,False,
259,130000.076032,128.0,8.0,False,False,False,
260,130000.156032,140.0,20.0,False,False,False,
261,131000.076032,128.0,8.0,False,False,False,
262,131000.156032,140.0,20.0,False,False,False,
263,132000.07603199998,128.0,8.0,False,False,False,
264,132000.156032,140.0,20.0,False,False,False,
265,133000.07603199998,128.0,8.0,False,False,False,
266,133000.156032,140.0,20.0,False,False,False,
267,134000.07603199998,128.0,8.0,False,False,False,
268,134000.156032,140.0,20.0,False,False,False,
